gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
8483-3,1461001480136,27,distr1, 176, 149, 222, 179, 154, 241, 66, 181, 3, 1, target, 159, 81, 208, 174, 180, 187, 99, 101, 1, 3, distr2, 215, 248, 222, 86, 196, 134, 109, 228, 2, 2, false
8483-3,1461001492714,28,target, 147, 207, 167, 234, 189, 57, 193, 155, 1, 1, distr2, 121, 81, 215, 172, 61, 93, 150, 175, 2, 3, distr1, 172, 162, 86, 207, 240, 201, 89, 149, 3, 2, true
8483-3,1461001510430,29,target, 126, 50, 137, 214, 162, 109, 110, 63, 3, 1, distr1, 60, 189, 87, 201, 138, 236, 128, 96, 1, 2, distr2, 211, 109, 242, 193, 104, 92, 198, 206, 2, 3, true
8483-3,1461001527007,30,target, 249, 157, 239, 152, 220, 169, 225, 81, 1, 2, distr2, 146, 83, 249, 84, 161, 129, 76, 122, 2, 3, distr1, 119, 106, 248, 245, 200, 81, 84, 191, 3, 1, true
8483-3,1461001566295,31,distr1, 62, 108, 127, 210, 211, 101, 95, 128, 2, 2, distr2, 89, 237, 128, 148, 92, 114, 212, 139, 1, 1, target, 119, 152, 120, 85, 68, 197, 164, 145, 3, 3, false
8483-3,1461001588817,32,target, 61, 129, 215, 125, 207, 88, 82, 213, 2, 3, distr2, 216, 85, 62, 186, 239, 220, 125, 53, 1, 1, distr1, 127, 175, 51, 191, 129, 168, 68, 199, 3, 2, true
8483-3,1461001608261,33,target, 51, 179, 233, 107, 204, 69, 166, 57, 2, 1, distr2, 201, 187, 214, 236, 189, 224, 132, 97, 1, 2, distr1, 155, 68, 171, 53, 201, 152, 157, 149, 3, 3, true
8483-3,1461001625173,34,target, 239, 219, 190, 248, 84, 53, 152, 136, 1, 2, distr2, 162, 206, 135, 132, 228, 215, 154, 66, 3, 1, distr1, 224, 233, 78, 57, 172, 124, 118, 156, 2, 3, true
8483-3,1461001639713,35,target, 200, 114, 139, 142, 129, 230, 79, 225, 1, 1, distr1, 78, 221, 214, 216, 199, 70, 99, 229, 2, 3, distr2, 186, 106, 75, 189, 64, 201, 50, 115, 3, 2, true
8483-3,1461001651313,36,target, 232, 137, 185, 123, 245, 69, 190, 246, 2, 1, distr2, 82, 135, 224, 226, 196, 111, 110, 107, 3, 2, distr1, 166, 213, 75, 122, 53, 79, 161, 56, 1, 3, true
8483-3,1461001665974,37,target, 217, 156, 84, 61, 65, 186, 117, 243, 3, 3, distr2, 59, 200, 138, 150, 144, 190, 166, 179, 2, 2, distr1, 247, 85, 57, 230, 100, 222, 190, 51, 1, 1, true
8483-3,1461001675112,38,target, 97, 72, 182, 175, 157, 231, 177, 121, 1, 3, distr1, 242, 117, 166, 178, 141, 177, 112, 81, 3, 2, distr2, 154, 84, 81, 158, 170, 62, 169, 124, 2, 1, true
8483-3,1461001698160,39,target, 87, 199, 238, 82, 186, 150, 112, 53, 3, 2, distr1, 146, 88, 97, 120, 241, 153, 154, 149, 1, 1, distr2, 190, 97, 91, 50, 179, 231, 156, 199, 2, 3, true
