iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390025469	2	straight	M101,155c0,-0.88845 0.96793,-1.65598 2,-2c13.29351,-4.43117 26.17588,-33 40,-33	4	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390026800	2	straight	M150,172c-3.54338,0 4.94045,-5.11663 7,-8c4.80288,-6.72403 8.99338,-20.99669 17,-25c0.94281,-0.4714 3.74536,-0.25464 3,-1c-6.16489,-6.16489 -21.63689,-12.59836 -30,-17c-1.56244,-0.82234 -12,-7.98961 -12,-7	5	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390027477	2	straight	M135,114c0,-23.05394 -18,-54.10339 -18,-81	6	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390028181	2	straight	M129,54c30.67542,15.33771 80.67638,13.68027 114,18c23.11019,2.99577 -2.41277,1 -8,1	7	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390028906	2	straight	M132,86c11.27942,11.27942 41.79437,9 56,9	8	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390030166	2	straight	M168,40c0,1.14447 4.09664,6.19328 5,8c1.33333,2.66667 2.8533,5.24792 4,8c10.15582,24.37396 -0.66975,47.99075 7,71c0.49987,1.49962 4.04187,8 1,8	9	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390031054	2	straight	M172,148c0,15.55012 10,31.22997 10,48	10	0	1	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390042041	3	redantique	M43,119c10.08528,0 68.27482,4.72518 73,0c5.09279,-5.09279 9.2658,-19 17,-19c11.24972,0 52,-2.33094 52,10c0,3.8769 3.74145,5 -1,5	1	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390043433	3	redantique	M194,113c-29.12124,0 -11.51793,31.18566 2,42c0.55962,0.4477 2.99657,1.60206 4,1c46.34745,-27.80847 -17,-61.77273 -17,-49	2	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390046222	3	redantique	M31,129c12.18367,0 22.18053,-9.30324 36,-7c10.17239,1.6954 16.27947,20.13974 24,24c9.838,4.919 24.31317,-1 35,-1c14.33333,0 28.66667,0 43,0c3.48642,0 21.30024,4 17,4	3	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390047748	3	redantique	M69,131c0,-3.57749 -13.68405,-2.47392 -16,1c-9.11045,13.66567 11.69703,41.65148 27,34c27.41172,-13.70586 -3.85184,-35 -21,-35	4	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390049270	3	redantique	M168,137c-2.55488,-2.55488 -4.86787,-5 -9,-5c-4.35711,0 -4,3.57137 -4,7c0,14.22395 14.63558,21 27,21c0.5618,0 6.79906,0.40187 7,0c4.83818,-9.67636 -18.40083,-23 -26,-23	5	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390051692	3	redantique	M49,117c0,-5.38988 -17.77257,-10.22743 -19,-9c-4.49037,4.49037 1.56817,11.42043 3,15c1.76136,4.4034 4.02711,3 9,3	6	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390056869	3	redantique	M196,125c2.09657,0 9.33714,5.66286 12,3c5.48266,-5.48266 -9.20137,-19.39932 -12,-18c-11.8599,5.92995 7.40978,37.59022 18,27c3.52811,-3.52811 -9.41514,-12 -12,-12	7	0	2	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390071124	4	goldenretriever	M160,144c1.6157,0 39,37.20514 39,8c0,-5.25628 1,-10.56875 1,-16	1	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390072884	4	goldenretriever	M111,129c1.79731,0 3.744,4.848 4,6c3.54335,15.94508 -10,30.21578 -10,45	2	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390073645	4	goldenretriever	M137,140c-1.79209,0 -1.24846,3.6335 -1,5c1.9107,10.50883 5.59528,36.59528 13,44c1.17851,1.17851 -2.33333,-3 -4,-3	3	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390074744	4	goldenretriever	M115,131c0,3.4254 14.68358,30.68358 6,22	4	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390075408	4	goldenretriever	M139,135c0,10.50111 -3,40.30143 -3,40	5	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390076415	4	goldenretriever	M161,138c0,-5.09838 -52.01103,-24 -60,-24	6	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390078479	4	goldenretriever	M108,122c0,-3.74524 -15.501,-21.74849 -18,-18c-1.22537,1.83805 -1.66352,3.67768 -1,6c0.5046,1.76608 2.73351,3.73351 4,5c2.17307,2.17307 4.25126,4.62563 7,6c9.1172,4.5586 11.88884,-8 6,-8	7	0	3	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390112931	5	chihuahua	M68,127c8.07027,0 15.98098,-13.49049 23,-17c0.89443,-0.44721 3,-1 3,0c0,12.34206 -10.72929,22 -21,22	1	0	4	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390113778	5	chihuahua	M70,128c3.99854,0 9.76391,9.76391 4,4	2	0	4	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390114702	5	chihuahua	M66,120c8.27269,0 3.66959,-17.66959 1,-15c-2.72131,2.72131 -2.41262,17 2,17	3	0	4	stroke
pilot1	2204-3d282337-deb9-4e23-94b2-6cd048a8a033	1506390117549	5	chihuahua	M72,100c0,-1.41421 2,-2 3,-3c12.23351,-12.23351 17.20255,-26.36595 30,-38c1.04643,-0.9513 1.89568,-2.11655 3,-3c0.48011,-0.38409 4.13996,-1.86004 5,-1c1.98045,1.98045 4,28 4,28c0,0 12.15646,-14.46372 14,-16c1.81071,-1.50893 5,-7.35702 5,-5c0,12.46047 -3,24.45183 -3,37c0,0.66667 -0.59628,1.70186 0,2c0.59628,0.29814 1.34003,0.09428 2,0c25.91065,-3.70152 50.75173,-10 77,-10c11.04665,0 22.69397,-1.43534 33,2c2.19955,0.73318 16.96733,4 12,4c-2.33333,0 -4.66667,0 -7,0	4	0	4	stroke
