gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
3550-f,1461004252798,27,target, 75, 118, 171, 90, 179, 108, 97, 165, 1, 1, distr1, 174, 246, 237, 82, 226, 200, 189, 136, 3, 2, distr2, 226, 180, 72, 222, 247, 156, 204, 145, 2, 3, true
3550-f,1461004268548,28,target, 60, 249, 203, 235, 80, 197, 172, 246, 2, 1, distr2, 97, 155, 161, 243, 176, 195, 174, 107, 3, 3, distr1, 50, 65, 248, 209, 204, 245, 187, 201, 1, 2, true
3550-f,1461004291463,29,target, 228, 227, 77, 249, 202, 90, 148, 146, 2, 1, distr1, 225, 67, 116, 73, 205, 112, 70, 181, 3, 3, distr2, 89, 159, 79, 206, 103, 90, 175, 181, 1, 2, true
3550-f,1461004310419,30,target, 224, 225, 98, 242, 236, 166, 140, 64, 3, 3, distr1, 119, 123, 214, 195, 193, 157, 129, 146, 1, 1, distr2, 86, 147, 173, 242, 239, 197, 214, 136, 2, 2, true
3550-f,1461004327463,31,target, 193, 208, 216, 131, 117, 221, 110, 220, 2, 2, distr1, 238, 107, 204, 74, 183, 122, 108, 56, 3, 1, distr2, 247, 169, 109, 131, 75, 132, 82, 134, 1, 3, true
3550-f,1461004363779,32,target, 100, 221, 57, 213, 143, 199, 177, 184, 2, 2, distr1, 124, 215, 109, 127, 97, 90, 100, 173, 1, 1, distr2, 67, 156, 210, 213, 153, 129, 150, 149, 3, 3, true
3550-f,1461004382353,33,target, 50, 194, 248, 151, 172, 79, 226, 199, 1, 1, distr1, 166, 68, 87, 111, 195, 152, 84, 100, 2, 3, distr2, 240, 232, 248, 81, 177, 74, 153, 230, 3, 2, true
3550-f,1461004399689,34,target, 96, 110, 218, 240, 60, 241, 196, 230, 1, 2, distr2, 217, 55, 50, 227, 126, 198, 169, 150, 2, 1, distr1, 51, 137, 190, 173, 153, 121, 57, 93, 3, 3, true
3550-f,1461004437994,35,target, 118, 136, 57, 141, 178, 196, 162, 128, 2, 3, distr2, 233, 214, 160, 246, 54, 212, 87, 237, 1, 2, distr1, 213, 184, 151, 73, 150, 172, 83, 235, 3, 1, true
3550-f,1461004465403,36,target, 160, 232, 244, 85, 127, 62, 202, 86, 3, 2, distr1, 107, 100, 77, 140, 229, 167, 149, 199, 2, 3, distr2, 104, 125, 143, 90, 176, 97, 72, 54, 1, 1, true
3550-f,1461004481636,37,target, 203, 147, 237, 217, 200, 115, 193, 132, 3, 1, distr2, 73, 60, 59, 147, 70, 121, 194, 77, 2, 2, distr1, 117, 238, 178, 167, 239, 185, 67, 208, 1, 3, true
3550-f,1461004540160,38,distr2, 210, 209, 62, 90, 60, 148, 235, 211, 1, 2, distr1, 222, 101, 60, 119, 72, 160, 239, 93, 3, 1, target, 57, 246, 173, 93, 163, 176, 232, 116, 2, 3, false
3550-f,1461004555493,39,target, 189, 219, 137, 77, 206, 230, 191, 175, 3, 1, distr2, 176, 196, 213, 171, 138, 249, 136, 95, 2, 3, distr1, 146, 149, 180, 174, 212, 119, 231, 106, 1, 2, true
3550-f,1461004565450,40,target, 62, 215, 92, 146, 110, 111, 56, 242, 2, 2, distr2, 73, 128, 121, 183, 53, 173, 218, 131, 3, 3, distr1, 221, 110, 174, 106, 73, 146, 247, 99, 1, 1, true
3550-f,1461004577610,41,target, 168, 136, 206, 200, 234, 153, 196, 172, 3, 1, distr2, 154, 120, 121, 205, 178, 162, 186, 115, 2, 3, distr1, 234, 69, 57, 193, 168, 237, 119, 156, 1, 2, true
3550-f,1461004601514,42,target, 215, 58, 195, 224, 229, 69, 238, 107, 2, 1, distr2, 88, 106, 155, 236, 139, 122, 73, 98, 3, 3, distr1, 194, 70, 233, 68, 174, 228, 106, 173, 1, 2, true
3550-f,1461004613589,43,target, 114, 77, 243, 238, 216, 85, 168, 198, 3, 1, distr2, 76, 68, 99, 206, 90, 172, 212, 111, 2, 2, distr1, 205, 246, 135, 60, 222, 78, 207, 145, 1, 3, true
3550-f,1461004644097,44,target, 228, 88, 126, 173, 71, 70, 67, 59, 2, 3, distr2, 142, 165, 200, 102, 232, 178, 208, 92, 1, 2, distr1, 229, 105, 231, 224, 164, 186, 190, 99, 3, 1, true
3550-f,1461004658746,45,target, 111, 153, 226, 232, 198, 157, 221, 146, 1, 3, distr2, 172, 65, 247, 69, 231, 63, 140, 214, 2, 1, distr1, 233, 142, 59, 85, 192, 246, 55, 125, 3, 2, true
3550-f,1461004730868,46,target, 200, 84, 113, 137, 136, 244, 192, 238, 1, 2, distr1, 217, 231, 218, 141, 84, 248, 103, 55, 2, 3, distr2, 218, 207, 178, 235, 91, 217, 109, 99, 3, 1, true
3550-f,1461004745150,47,target, 178, 60, 56, 187, 179, 228, 194, 114, 1, 3, distr2, 127, 187, 109, 192, 53, 170, 184, 240, 3, 1, distr1, 209, 182, 76, 154, 237, 246, 204, 164, 2, 2, true
3550-f,1461004760843,48,target, 228, 170, 112, 130, 98, 249, 150, 217, 3, 2, distr1, 115, 167, 217, 169, 153, 147, 99, 228, 2, 1, distr2, 191, 220, 81, 180, 241, 109, 170, 147, 1, 3, true
3550-f,1461004801013,49,target, 90, 174, 173, 172, 78, 72, 122, 57, 3, 1, distr1, 230, 111, 133, 97, 125, 159, 89, 120, 1, 3, distr2, 116, 189, 133, 70, 244, 173, 206, 78, 2, 2, true
3550-f,1461004819037,50,target, 178, 217, 116, 165, 225, 76, 145, 59, 2, 2, distr1, 53, 234, 98, 178, 82, 106, 205, 121, 3, 1, distr2, 102, 137, 222, 231, 223, 247, 212, 65, 1, 3, true
